timestamp;value;status;note
2025-01-01T12:24:00;
2025-01-01T12:24:05;5,131;ERR;cal
2025-01-01T12:24:10.123; 5.135 ;WARN;cal
2025-01-01T12:24:15;NULL;WARN;cal
2025-01-01T12:24:20; 5,322 ;ERR;sensorA
01/01/2025 12:24:25;5.484 ;WARN;cal
2025-01-01T12:24:30; 5,584;ERR;sensorA
2025-01-01T12:24:35; 5,507;ERR;sensorA
2025-01-01T12:24:40; 5.506;;tmp
2025-01-01T12:24:45.123; 5,678 ;WARN;cal
01/01/2025 12:24:50;5.620;;cal
2025-01-01T12:24:55;5.539;WARN;prueba
2025-01-01T12:25:00; 5.545 ;;tmp
2025-01-01T12:25:05; 5,605;OK;tmp
2025-01-01T12:25:10;5,540;;sensorA
2025-01-01T12:25:15;5.487 ;ERR;
2025-01-01T12:25:20;??;WARN;
2025-01-01T12:25:25.123;8,001;WARN;tmp
2025-01-01T12:25:30.123; 5,161 ;ERR;cal
01/01/2025 12:25:35;5.031 ;;sensorA
2025-01-01T12:25:40;5,006;WARN;
2025-01-01T12:25:45;4,995;ERR;cal
2025-01-01T12:25:50;4,727 ;;prueba
2025-01-01T12:25:55;4.719 ;;cal
2025-01-01T12:26:00;??;WARN;prueba
01/01/2025 12:26:05;4,634;OK;prueba
2025-01-01T12:26:10;8.478 ;ERR;
01/01/2025 12:26:15;4.455;ERR;
01/01/2025 12:26:20;4.337 ;WARN;tmp
2025-01-01T12:26:25;4,393;;tmp
2025-01-01T12:26:30.123;4,493;WARN;prueba
2025-01-01T12:26:35;4,332;;cal
2025-01-01T12:26:40;N/A;ERR;
2025-01-01T12:26:45; 4.414;;sensorA
2025-01-01T12:26:50; 4,594 ;WARN;sensorA;extra
2025-01-01T12:26:55;NA;WARN;sensorA
2025-01-01T12:27:00;??;OK;cal
2025-01-01T12:27:05;NULL;ERR;sensorA
01/01/2025 12:27:10; 4.759;OK;cal
01/01/2025 12:27:15; 4,840;WARN;sensorA
2025-01-01T12:27:20.123; 5,001 ;;prueba
2025-01-01T12:27:25; 5,144 ;WARN;tmp
2025-01-01T12:27:30;5.215 ;;tmp
01/01/2025 12:27:35;5.302;OK;cal
2025-01-01T12:27:40;2.600 ;ERR;prueba;extra
2025-01-01T12:27:45; 5,405;ERR;cal
01/01/2025 12:27:50; 5,546;;sensorA
01/01/2025 12:27:55;NULL;ERR;tmp
2025-01-01T12:28:00; 5.564 ;WARN;prueba
2025-01-01T12:28:05.123; 5.652 ;OK;
2025-01-01T12:28:10;5.553;WARN;cal
2025-01-01T12:28:15; 5.530 ;WARN;cal
2025-01-01T12:28:20; 5,574;ERR;prueba
2025-01-01T12:28:25;5.444 ;ERR;cal
2025-01-01T12:28:30; 5,431;WARN;prueba
2025-01-01T12:28:35; 5,465;ERR;sensorA
01/01/2025 12:28:40;5.279 ;;
01/01/2025 12:28:45;5.354;ERR;
2025-01-01T12:28:50; 5.251;ERR;tmp
2025-01-01T12:28:55.123; 2,631;OK;tmp
2025-01-01T12:29:00; 4,908;OK;cal;extra
01/01/2025 12:29:05;4.965 ;ERR;sensorA
2025-01-01T12:29:10; 4.820 ;OK;cal
2025-01-01T12:29:15;
2025-01-01T12:29:20; 4,674 ;WARN;
2025-01-01T12:29:25;4.485;;cal
2025-01-01T12:29:30;4.574;ERR;cal
2025-01-01T12:29:35;??;OK;prueba
2025-01-01T12:29:40;4,500 ;ERR;
2025-01-01T12:29:45.123;4,438;OK;sensorA
2025-01-01T12:29:50; 4.349 ;ERR;prueba
2025-01-01T12:29:55; 4.318;OK;prueba
2025-01-01T12:30:00;4,492 ;;
2025-01-01T12:30:05; 4.512 ;OK;sensorA
2025-01-01T12:30:10; 4.606 ;ERR;prueba;extra
2025-01-01T12:30:15;4.580;ERR;
2025-01-01T12:30:20.123;4.645;OK;
2025-01-01T12:30:25; 4,807;ERR;tmp
2025-01-01T12:30:30; 4.867 ;ERR;prueba
01/01/2025 12:30:35;4.899;WARN;tmp
01/01/2025 12:30:40;5,041;OK;tmp
01/01/2025 12:30:45; 5.042;;
2025-01-01T12:30:50; 5,104 ;ERR;sensorA
2025-01-01T12:30:55;5,196;;sensorA
01/01/2025 12:31:00;5.371 ;WARN;sensorA
2025-01-01T12:31:05.123;
01/01/2025 12:31:10;??;OK;cal
2025-01-01T12:31:15; 5.464;OK;sensorA
2025-01-01T12:31:20;5,654 ;ERR;prueba
2025-01-01T12:31:25;5.582;ERR;sensorA
2025-01-01T12:31:30;5.653 ;OK;sensorA
2025-01-01T12:31:35.123;5.674;;tmp
2025-01-01T12:31:40; 3,050;WARN;
2025-01-01T12:31:45; 5,545 ;ERR;sensorA
01/01/2025 12:31:50; 5,485;WARN;cal
2025-01-01T12:31:55;5,360;;prueba
2025-01-01T12:32:00.123;5,387 ;ERR;sensorA
2025-01-01T12:32:05;5.278 ;OK;sensorA
2025-01-01T12:32:10; 5,275 ;;cal
01/01/2025 12:32:15; 7.981 ;OK;sensorA
2025-01-01T12:32:20;5,019;;tmp
01/01/2025 12:32:25; 4,949 ;WARN;
01/01/2025 12:32:30;??;OK;
01/01/2025 12:32:35;4,781 ;WARN;cal
01/01/2025 12:32:40;4,714 ;WARN;cal
2025-01-01T12:32:45.123; 4.652;OK;sensorA
2025-01-01T12:32:50; 4,513 ;ERR;
2025-01-01T12:32:55;4,472;WARN;sensorA
01/01/2025 12:33:00;none;WARN;tmp
2025-01-01T12:33:05; 4,474 ;WARN;prueba
2025-01-01T12:33:10;4,371;WARN;
2025-01-01T12:33:15;4.333 ;WARN;sensorA
2025-01-01T12:33:20; 4,340 ;ERR;cal
2025-01-01T12:33:25;4,370 ;;tmp
2025-01-01T12:33:30;3.347;;cal
01/01/2025 12:33:35;4,561 ;WARN;prueba
2025-01-01T12:33:40;4.745;OK;prueba
2025-01-01T12:33:45.123;4.686;OK;cal
2025-01-01T12:33:50;4,815;WARN;tmp
2025-01-01T12:33:55; 4.947;OK;cal
2025-01-01T12:34:00.123;3.126;OK;
01/01/2025 12:34:05;5,004 ;ERR;cal
01/01/2025 12:34:10; 5.228 ;OK;sensorA
01/01/2025 12:34:15;5.185;WARN;
2025-01-01T12:34:20; 5,265 ;OK;
2025-01-01T12:34:25.123;5,478;WARN;prueba
2025-01-01T12:34:30;
2025-01-01T12:34:35; 5.550 ;;sensorA
2025-01-01T12:34:40; 5.635 ;;sensorA
2025-01-01T12:34:45;??;ERR;tmp
01/01/2025 12:34:50; 5.629 ;WARN;sensorA
2025-01-01T12:34:55;5,618 ;WARN;
2025-01-01T12:35:00; 5.557 ;ERR;cal
2025-01-01T12:35:05;5,505 ;WARN;cal
2025-01-01T12:35:10.123;5,563 ;ERR;
01/01/2025 12:35:15;5.430 ;OK;sensorA
2025-01-01T12:35:20; 5.372;WARN;prueba
2025-01-01T12:35:25; 5,330 ;OK;tmp
