timestamp;value;status;note
2025-01-01T12:18:00.123;5,094;;sensorA
01/01/2025 12:18:05; 5.118;WARN;
2025-01-01T12:18:10;5.160 ;ERR;prueba
2025-01-01T12:18:15; 5.209;OK;prueba
01/01/2025 12:18:20;5.358 ;;cal
2025-01-01T12:18:25;
2025-01-01T12:18:30;5,561;OK;cal
2025-01-01T12:18:35; 5,626 ;OK;prueba
2025-01-01T12:18:40.123;5,535;OK;;extra
2025-01-01T12:18:45;5.653 ;WARN;sensorA
01/01/2025 12:18:50; 5,513;OK;prueba
2025-01-01T12:18:55; 5.587;WARN;
2025-01-01T12:19:00.123;5,544 ;OK;
2025-01-01T12:19:05; 5,459 ;OK;sensorA
2025-01-01T12:19:10;??;WARN;prueba
2025-01-01T12:19:15; 5,349 ;ERR;prueba
2025-01-01T12:19:20;5.310;ERR;cal
01/01/2025 12:19:25; 5,202 ;;prueba
2025-01-01T12:19:30; 5,137 ;ERR;
2025-01-01T12:19:35; 4.996;;sensorA
2025-01-01T12:19:40.123;??;;cal
2025-01-01T12:19:45.123;??;ERR;cal
2025-01-01T12:19:50;4.793 ;WARN;prueba
2025-01-01T12:19:55;4,729;ERR;
01/01/2025 12:20:00; 4.549 ;OK;tmp
2025-01-01T12:20:05; 4.635;ERR;prueba
2025-01-01T12:20:10;8,170 ;WARN;tmp
01/01/2025 12:20:15;??;WARN;tmp
01/01/2025 12:20:20;4,417 ;OK;
2025-01-01T12:20:25.123; 4.333;OK;prueba
01/01/2025 12:20:30;4.359;OK;cal
2025-01-01T12:20:35; 4,500;ERR;
2025-01-01T12:20:40;4,521;;tmp
01/01/2025 12:20:45;
2025-01-01T12:20:50.123; 4,522;WARN;prueba
01/01/2025 12:20:55;4.589;WARN;
2025-01-01T12:21:00.123; 4,666;OK;sensorA
2025-01-01T12:21:05.123; 4.672 ;WARN;tmp
2025-01-01T12:21:10;4.757;OK;tmp
2025-01-01T12:21:15;
2025-01-01T12:21:20;5,074;OK;sensorA
2025-01-01T12:21:25;;;
2025-01-01T12:21:30; 5,128 ;ERR;cal
01/01/2025 12:21:35;3,194 ;ERR;sensorA
2025-01-01T12:21:40; 5.353 ;ERR;tmp
2025-01-01T12:21:45; 5,467 ;ERR;
01/01/2025 12:21:50; 5,536 ;OK;prueba
2025-01-01T12:21:55.123;5.561;WARN;cal
2025-01-01T12:22:00;??;WARN;cal
2025-01-01T12:22:05;??;WARN;
2025-01-01T12:22:10; 5.658 ;OK;prueba
01/01/2025 12:22:15;5,532;WARN;cal
2025-01-01T12:22:20;5.522 ;OK;sensorA
2025-01-01T12:22:25;5,602;;sensorA
2025-01-01T12:22:30;5,427;WARN;sensorA
2025-01-01T12:22:35;??;;sensorA
01/01/2025 12:22:40;5,383 ;ERR;cal
01/01/2025 12:22:45;5.199 ;OK;tmp
01/01/2025 12:22:50;5.136;OK;tmp;extra
01/01/2025 12:22:55;??;;
2025-01-01T12:23:00; 3,439 ;WARN;sensorA
